CODE,DESCRIPTION
S8341,SPRAIN OF MEDIAL COLLATERAL LIGAMENT OF KNEE
S8391,SPRAIN OF UNSPECIFIED SITE OF RIGHT KNEE
S8392,SPRAIN OF UNSPECIFIED SITE OF LEFT KNEE
S8812,PARTIAL TRAUMATIC AMPUTATION AT LEVEL BETWEEN KNEE AND ANKLE
S8991,UNSPECIFIED INJURY OF RIGHT LOWER LEG
S9082,BLISTER (NONTHERMAL) OF FOOT
S9130,UNSPECIFIED OPEN WOUND OF FOOT
S9210,UNSPECIFIED FRACTURE OF TALUS
S9253,FRACTURE OF DISTAL PHALANX OF LESSER TOE(S)
S9330,UNSPECIFIED SUBLUXATION AND DISLOCATION OF FOOT
T1759,OTHER FOREIGN OBJECT IN BRONCHUS
T2221,BURN OF SECOND DEGREE OF FOREARM
T421X,IMINOSTILBENES
T481X,SKELETAL MUSCLE RELAXANTS
T6522,TOXIC EFFECT OF TOBACCO CIGARETTES
T751X,null
T7611,"ADULT PHYSICAL ABUSE, SUSPECTED"
T7631,"ADULT PSYCHOLOGICAL ABUSE, SUSPECTED"
T7800,ANAPHYLACTIC REACTION DUE TO UNSPECIFIED FOOD
T8132,"DISRUPTION OF INTERNAL OPERATION (SURGICAL) WOUND, NEC"
T8141,"INFECTION FOL A PROCEDURE, SUPERFIC INCISIONAL SURGICAL SITE"
T8203,LEAKAGE OF HEART VALVE PROSTHESIS
T8303,LEAKAGE OF URINARY CATHETER
T8441,"BRKDWN INTERNAL ORTHOPEDIC DEVICES, IMPLANTS AND GRAFTS"
T8501,BREAKDOWN (MECHANICAL) OF VENTRICULAR INTRACRANIAL SHUNT
T8610,UNSPECIFIED COMPLICATION OF KIDNEY TRANSPLANT
T8690,UNSP COMPLICATION OF UNSP TRANSPLANTED ORGAN AND TISSUE
T8852,FAILED MODERATE SEDATION DURING PROCEDURE
W1789,OTHER FALL FROM ONE LEVEL TO ANOTHER
W1809,STRIKING AGAINST OTHER OBJECT WITH SUBSEQUENT FALL
W1811,FALL FROM OR OFF TOILET W/O STRIKE AGAINST OBJECT
W1812,FALL FROM OR OFF TOILET W SUBSEQUENT STRIKING AGAINST OBJECT
W2101,STRUCK BY FOOTBALL
Y738,"MISC GASTROENT AND UROLOGY DEVICES ASSOC W INCDT, NEC"
Y792,PROSTH/OTH IMPLNT/MTRLS ORTHOPEDIC DEVICES ASSOC W INCDT
Y838,"OTH SURGICAL PROCEDURES CAUSE ABN REACT/COMPL, W/O MISADVNT"
Y844,"ASPIRATION OF FLUID CAUSE ABN REACT/COMPL, W/O MISADVNT"
Y9259,OTH TRADE AREAS AS PLACE
Y9364,"ACTIVITY, BASEBALL"
Y93E2,"ACTIVITY, LAUNDRY"
Y93H1,"ACTIVITY, DIGGING, SHOVELING AND RAKING"
Y93H2,"ACTIVITY, GARDENING AND LANDSCAPING"
Z0121,ENCOUNTER FOR DENTAL EXAM AND CLEANING W ABNORMAL FINDINGS
Z026,ENCOUNTER FOR EXAMINATION FOR INSURANCE PURPOSES
Z0279,ENCOUNTER FOR ISSUE OF OTHER MEDICAL CERTIFICATE
Z0281,ENCOUNTER FOR PATERNITY TESTING
Z0282,ENCOUNTER FOR ADOPTION SERVICES
Z036,ENCNTR FOR OBS FOR SUSP TOXIC EFF FROM INGEST SUB RULED OUT
Z114,ENCOUNTER FOR SCREENING FOR HUMAN IMMUNODEFICIENCY VIRUS
Z1159,ENCOUNTER FOR SCREENING FOR OTHER VIRAL DISEASES
Z1239,ENCOUNTER FOR OTH SCREENING FOR MALIGNANT NEOPLASM OF BREAST
Z129,"ENCOUNTER FOR SCREENING FOR MALIGNANT NEOPLASM, SITE UNSP"
Z1619,RESISTANCE TO OTHER SPECIFIED BETA LACTAM ANTIBIOTICS
Z1621,RESISTANCE TO VANCOMYCIN
Z1635,RESISTANCE TO MULTIPLE ANTIMICROBIAL DRUGS
Z191,HORMONE SENSITIVE MALIGNANCY STATUS
Z2081,CONTACT W AND EXPOSURE TO OTH BACT COMMUNICABLE DISEASES
Z221,CARRIER OF OTHER INTESTINAL INFECTIOUS DISEASES
Z229,"CARRIER OF INFECTIOUS DISEASE, UNSPECIFIED"
Z2801,IMMUNIZATION NOT CRD OUT BECAUSE OF ACUTE ILLNESS OF PATIENT
Z289,IMMUNIZATION NOT CARRIED OUT FOR UNSPECIFIED REASON
Z3161,PROCREAT COUNSELING AND ADVICE USING NATURAL FAMILY PLANNING
Z3181,ENCOUNTER FOR MALE FACTOR INFERTILITY IN FEMALE PATIENT
Z3184,ENCOUNTER FOR FERTILITY PRESERVATION PROCEDURE
Z3403,"ENCNTR FOR SUPRVSN OF NORMAL FIRST PREG, THIRD TRIMESTER"
Z3481,"ENCOUNTER FOR SUPRVSN OF NORMAL PREGNANCY, FIRST TRIMESTER"
Z3482,"ENCOUNTER FOR SUPRVSN OF NORMAL PREGNANCY, SECOND TRIMESTER"
Z368A,ENCOUNTER FOR ANTENATAL SCREENING FOR OTHER GENETIC DEFECTS
Z369,"ENCOUNTER FOR ANTENATAL SCREENING, UNSPECIFIED"
Z3A30,30 WEEKS GESTATION OF PREGNANCY
Z3A37,37 WEEKS GESTATION OF PREGNANCY
Z3A39,39 WEEKS GESTATION OF PREGNANCY
Z472,ENCOUNTER FOR REMOVAL OF INTERNAL FIXATION DEVICE
Z516,ENCOUNTER FOR DESENSITIZATION TO ALLERGENS
Z5200,UNSPECIFIED BLOOD DONOR
Z524,KIDNEY DONOR
Z5739,OCCUPATIONAL EXPOSURE TO OTHER AIR CONTAMINANTS
Z5948,OTHER SPECIFIED LACK OF ADEQUATE FOOD
Z6379,OTHER STRESSFUL LIFE EVENTS AFFECTING FAMILY AND HOUSEHOLD
Z639,"PROBLEM RELATED TO PRIMARY SUPPORT GROUP, UNSPECIFIED"
Z653,PROBLEMS RELATED TO OTHER LEGAL CIRCUMSTANCES
Z6720,"TYPE B BLOOD, RH POSITIVE"
Z6828,"BODY MASS INDEX [BMI] 28.0-28.9, ADULT"
Z6832,"BODY MASS INDEX [BMI] 32.0-32.9, ADULT"
Z6852,"BODY MASS INDEX PEDIATRIC, 5TH PERCENTILE TO < 85% FOR AGE"
Z6853,"BODY MASS INDEX PEDIATRIC, 85% TO LESS THAN 95% FOR AGE"
Z700,COUNSELING RELATED TO SEXUAL ATTITUDE
Z711,PERSON W FEARED HLTH COMPLAINT IN WHOM NO DIAGNOSIS IS MADE
Z7184,ENCOUNTER FOR HEALTH COUNSELING RELATED TO TRAVEL
Z720,TOBACCO USE
Z724,INAPPROPRIATE DIET AND EATING HABITS
Z726,GAMBLING AND BETTING
Z735,"SOCIAL ROLE CONFLICT, NOT ELSEWHERE CLASSIFIED"
Z743,NEED FOR CONTINUOUS SUPERVISION
Z754,UNAVAILABILITY AND INACCESSIBILITY OF OTHER HELPING AGENCIES
Z755,HOLIDAY RELIEF CARE
Z759,UNSP PROBLEM RELATED TO MED FACILITIES AND OTH HEALTH CARE
Z7901,LONG TERM (CURRENT) USE OF ANTICOAGULANTS
Z8241,FAMILY HISTORY OF SUDDEN CARDIAC DEATH
Z8349,"FAMILY HISTORY OF ENDO, NUTRITIONAL AND METABOLIC DISEASES"
Z840,"FAMILY HISTORY OF DISEASES OF THE SKIN, SUBCU"
Z8504,"PRSNL HX OF MALIG NEOPLM OF RECTUM, RECTOSIG JUNCT, AND ANUS"
Z8543,PERSONAL HISTORY OF MALIGNANT NEOPLASM OF OVARY
Z8581,"PRSNL HX OF MALIG NEOPLM OF LIP, ORAL CAVITY, AND PHARYNX"
Z8585,PERSONAL HISTORY OF MALIGNANT NEOPLASM OF ENDOCRINE GLANDS
Z8639,"PERSONAL HISTORY OF ENDO, NUTRITIONAL AND METABOLIC DISEASE"
Z8679,PERSONAL HISTORY OF OTHER DISEASES OF THE CIRCULATORY SYSTEM
Z8731,PERSONAL HISTORY OF (HEALED) NONTRAUMATIC FRACTURE
Z8772,PRSNL HX OF CONGEN MALFORM OF NERVOUS SYS AND SENSE ORGANS
Z8773,PERSONAL HISTORY OF CONGENITAL MALFORM OF DGSTV SYS
Z880,ALLERGY STATUS TO PENICILLIN
Z882,ALLERGY STATUS TO SULFONAMIDES
Z885,ALLERGY STATUS TO NARCOTIC AGENT
Z8944,ACQUIRED ABSENCE OF ANKLE
Z9089,ACQUIRED ABSENCE OF OTHER ORGANS
Z9115,PATIENT'S NONCOMPLIANCE WITH RENAL DIALYSIS
Z9359,OTHER CYSTOSTOMY STATUS
Z9641,PRESENCE OF INSULIN PUMP (EXTERNAL) (INTERNAL)
Z9661,PRESENCE OF ARTIFICIAL SHOULDER JOINT
Z992,DEPENDENCE ON RENAL DIALYSIS
T4041,FENTANYL OR FENTANYL ANALOGS
A000,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE"
A061,CHRONIC INTESTINAL AMEBIASIS
A150,TUBERCULOSIS OF LUNG
A280,PASTEURELLOSIS
A318,OTHER MYCOBACTERIAL INFECTIONS
A403,SEPSIS DUE TO STREPTOCOCCUS PNEUMONIAE
A46,ERYSIPELAS
A480,GAS GANGRENE
A5216,CHARCOT'S ARTHROPATHY (TABETIC)
A5219,OTHER SYMPTOMATIC NEUROSYPHILIS
A5422,GONOCOCCAL PROSTATITIS
A5602,CHLAMYDIAL VULVOVAGINITIS
A5901,TRICHOMONAL VULVOVAGINITIS
A5909,OTHER UROGENITAL TRICHOMONIASIS
A601,HERPESVIRAL INFECTION OF PERIANAL SKIN AND RECTUM
A609,"ANOGENITAL HERPESVIRAL INFECTION, UNSPECIFIED"
A7989,OTHER SPECIFIED RICKETTSIOSES
A812,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY
B0082,HERPES SIMPLEX MYELITIS
B0231,ZOSTER CONJUNCTIVITIS
B084,ENTEROVIRAL VESICULAR STOMATITIS WITH EXANTHEM
B170,ACUTE DELTA-(SUPER) INFECTION OF HEPATITIS B CARRIER
B1711,ACUTE HEPATITIS C WITH HEPATIC COMA
B181,CHRONIC VIRAL HEPATITIS B WITHOUT DELTA-AGENT
B20,HUMAN IMMUNODEFICIENCY VIRUS [HIV] DISEASE
B2700,GAMMAHERPESVIRAL MONONUCLEOSIS WITHOUT COMPLICATION
B2790,"INFECTIOUS MONONUCLEOSIS, UNSPECIFIED WITHOUT COMPLICATION"
B300,KERATOCONJUNCTIVITIS DUE TO ADENOVIRUS
B301,CONJUNCTIVITIS DUE TO ADENOVIRUS
B3323,VIRAL PERICARDITIS
B340,"ADENOVIRUS INFECTION, UNSPECIFIED"
B352,TINEA MANUUM
B358,OTHER DERMATOPHYTOSES
B371,PULMONARY CANDIDIASIS
B3741,CANDIDAL CYSTITIS AND URETHRITIS
B379,"CANDIDIASIS, UNSPECIFIED"
B381,CHRONIC PULMONARY COCCIDIOIDOMYCOSIS
B390,ACUTE PULMONARY HISTOPLASMOSIS CAPSULATI
B459,"CRYPTOCOCCOSIS, UNSPECIFIED"
B780,INTESTINAL STRONGYLOIDIASIS
B851,PEDICULOSIS DUE TO PEDICULUS HUMANUS CORPORIS
B880,OTHER ACARIASIS
B955,UNSP STREPTOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR
B964,PROTEUS (MIRABILIS) (MORGANII) CAUSING DIS CLASSD ELSWHR
B970,ADENOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE
B9719,OTH ENTEROVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR
B9781,HUMAN METAPNEUMOVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR
B999,UNSPECIFIED INFECTIOUS DISEASE
C108,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF OROPHARYNX
C109,"MALIGNANT NEOPLASM OF OROPHARYNX, UNSPECIFIED"
C138,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF HYPOPHARYNX
C148,"MALIG NEOPLM OF OVRLP SITES OF LIP, ORAL CAVITY AND PHARYNX"
C162,MALIGNANT NEOPLASM OF BODY OF STOMACH
C182,MALIGNANT NEOPLASM OF ASCENDING COLON
C183,MALIGNANT NEOPLASM OF HEPATIC FLEXURE
C184,MALIGNANT NEOPLASM OF TRANSVERSE COLON
C186,MALIGNANT NEOPLASM OF DESCENDING COLON
C320,MALIGNANT NEOPLASM OF GLOTTIS
C3400,MALIGNANT NEOPLASM OF UNSPECIFIED MAIN BRONCHUS
C3430,"MALIGNANT NEOPLASM OF LOWER LOBE, UNSP BRONCHUS OR LUNG"
C3481,MALIGNANT NEOPLASM OF OVRLP SITES OF RIGHT BRONCHUS AND LUNG
C4371,"MALIGNANT MELANOMA OF RIGHT LOWER LIMB, INCLUDING HIP"
C4400,UNSPECIFIED MALIGNANT NEOPLASM OF SKIN OF LIP
C4412,"SQUAMOUS CELL CARCINOMA OF SKIN OF EYELID, INCLUDING CANTHUS"
C4442,SQUAMOUS CELL CARCINOMA OF SKIN OF SCALP AND NECK
C4452,SQUAMOUS CELL CARCINOMA OF SKIN OF TRUNK
C4460,"UNSP MALIGNANT NEOPLASM SKIN/ UPPER LIMB, INCLUDING SHOULDER"
C4479,"OTH MALIGNANT NEOPLASM OF SKIN OF LOWER LIMB, INCLUDING HIP"
C459,"MESOTHELIOMA, UNSPECIFIED"
C461,KAPOSI'S SARCOMA OF SOFT TISSUE
C480,MALIGNANT NEOPLASM OF RETROPERITONEUM
C490,"MALIG NEOPLM OF CONN AND SOFT TISSUE OF HEAD, FACE AND NECK"
C498,MALIGNANT NEOPLASM OF OVRLP SITES OF CONN AND SOFT TISSUE
C4A4,MERKEL CELL CARCINOMA OF SCALP AND NECK
C52,MALIGNANT NEOPLASM OF VAGINA
C632,MALIGNANT NEOPLASM OF SCROTUM
C651,MALIGNANT NEOPLASM OF RIGHT RENAL PELVIS
C673,MALIGNANT NEOPLASM OF ANTERIOR WALL OF BLADDER
C675,MALIGNANT NEOPLASM OF BLADDER NECK
C6991,MALIGNANT NEOPLASM OF UNSPECIFIED SITE OF RIGHT EYE
C711,MALIGNANT NEOPLASM OF FRONTAL LOBE
C7880,SECONDARY MALIGNANT NEOPLASM OF UNSPECIFIED DIGESTIVE ORGAN
C7970,SECONDARY MALIGNANT NEOPLASM OF UNSPECIFIED ADRENAL GLAND
C8118,"NODULAR SCLEROSIS HODGKIN LYMPHOMA, LYMPH NODES MULT SITE"
C8170,"OTHER HODGKIN LYMPHOMA, UNSPECIFIED SITE"
C8231,"FOLICLAR LYMPHOMA GRADE IIIA, NODES OF HEAD, FACE, AND NECK"
C8258,"DIFFUSE FOLLICLE CENTER LYMPHOMA, LYMPH NODES MULT SITE"
C8289,"OTH TYPES OF FOLICLAR LYMPH, EXTRNOD AND SOLID ORGAN SITES"
C8293,"FOLLICULAR LYMPHOMA, UNSP, INTRA-ABDOMINAL LYMPH NODES"
C8333,"DIFFUSE LARGE B-CELL LYMPHOMA, INTRA-ABDOMINAL LYMPH NODES"
C8513,"UNSPECIFIED B-CELL LYMPHOMA, INTRA-ABDOMINAL LYMPH NODES"
C8519,"UNSP B-CELL LYMPHOMA, EXTRANODAL AND SOLID ORGAN SITES"
C8593,"NON-HODGKIN LYMPHOMA, UNSP, INTRA-ABDOMINAL LYMPH NODES"
C9000,MULTIPLE MYELOMA NOT HAVING ACHIEVED REMISSION
C9002,MULTIPLE MYELOMA IN RELAPSE
C9212,"CHRONIC MYELOID LEUKEMIA, BCR/ABL-POSITIVE, IN RELAPSE"
C9510,CHRONIC LEUKEMIA OF UNSP CELL TYPE NOT ACHIEVE REMISSION
C9621,AGGRESSIVE SYSTEMIC MASTOCYTOSIS
D015,"CARCINOMA IN SITU OF LIVER, GALLBLADDER AND BILE DUCTS"
D0462,"CA IN SITU SKIN OF LEFT UPPER LIMB, INCLUDING SHOULDER"
D0512,INTRADUCTAL CARCINOMA IN SITU OF LEFT BREAST
D1039,BENIGN NEOPLASM OF OTHER PARTS OF MOUTH
D125,BENIGN NEOPLASM OF SIGMOID COLON
D130,BENIGN NEOPLASM OF ESOPHAGUS
D1720,"BENIGN LIPOMATOUS NEOPLASM OF SKIN, SUBCU OF UNSP LIMB"
D1722,"BENIGN LIPOMATOUS NEOPLASM OF SKIN, SUBCU OF LEFT ARM"
D175,BENIGN LIPOMATOUS NEOPLASM OF INTRA-ABDOMINAL ORGANS
D1803,HEMANGIOMA OF INTRA-ABDOMINAL STRUCTURES
D181,"LYMPHANGIOMA, ANY SITE"
D190,BENIGN NEOPLASM OF MESOTHELIAL TISSUE OF PLEURA
D219,"BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE, UNSP"
D2220,MELANOCYTIC NEVI OF UNSP EAR AND EXTERNAL AURICULAR CANAL
D2261,"MELANOCYTIC NEVI OF RIGHT UPPER LIMB, INCLUDING SHOULDER"
D2271,"MELANOCYTIC NEVI OF RIGHT LOWER LIMB, INCLUDING HIP"
D2321,OTH BENIGN NEOPLASM SKIN/ RIGHT EAR AND EXTERNAL AURIC CANAL
D2339,OTHER BENIGN NEOPLASM OF SKIN OF OTHER PARTS OF FACE
D269,"OTHER BENIGN NEOPLASM OF UTERUS, UNSPECIFIED"
D270,BENIGN NEOPLASM OF RIGHT OVARY
D291,BENIGN NEOPLASM OF PROSTATE
D3142,BENIGN NEOPLASM OF LEFT CILIARY BODY
D320,BENIGN NEOPLASM OF CEREBRAL MENINGES
D331,"BENIGN NEOPLASM OF BRAIN, INFRATENTORIAL"
D333,BENIGN NEOPLASM OF CRANIAL NERVES
D34,BENIGN NEOPLASM OF THYROID GLAND
D3500,BENIGN NEOPLASM OF UNSPECIFIED ADRENAL GLAND
D3709,NEOPLASM OF UNCERTAIN BEHAVIOR OF SITES OF THE ORAL CAVITY
D371,NEOPLASM OF UNCERTAIN BEHAVIOR OF STOMACH
D398,NEOPLASM OF UNCERTAIN BEHAVIOR OF OTH FEMALE GENITAL ORGANS
D4111,NEOPLASM OF UNCERTAIN BEHAVIOR OF RIGHT RENAL PELVIS
D429,"NEOPLASM OF UNCERTAIN BEHAVIOR OF MENINGES, UNSPECIFIED"
D444,NEOPLASM OF UNCERTAIN BEHAVIOR OF CRANIOPHARYNGEAL DUCT
D4622,REFRACTORY ANEMIA WITH EXCESS OF BLASTS 2
D46A,REFRACTORY CYTOPENIA WITH MULTILINEAGE DYSPLASIA
D472,MONOCLONAL GAMMOPATHY
D47Z1,POST-TRANSPLANT LYMPHOPROLIFERATIVE DISORDER (PTLD)
D483,NEOPLASM OF UNCERTAIN BEHAVIOR OF RETROPERITONEUM
D4951,NEOPLASM OF UNSPECIFIED BEHAVIOR OF KIDNEY
D539,"NUTRITIONAL ANEMIA, UNSPECIFIED"
D558,OTHER ANEMIAS DUE TO ENZYME DISORDERS
D568,OTHER THALASSEMIAS
D5781,OTHER SICKLE-CELL DISORDERS WITH CRISIS
D5910,"AUTOIMMUNE HEMOLYTIC ANEMIA, UNSPECIFIED"
D642,SECONDARY SIDEROBLASTIC ANEMIA DUE TO DRUGS AND TOXINS
D690,ALLERGIC PURPURA
D6942,CONGENITAL AND HEREDITARY THROMBOCYTOPENIA PURPURA
D696,"THROMBOCYTOPENIA, UNSPECIFIED"
D7210,"EOSINOPHILIA, UNSPECIFIED"
D7281,DECREASED WHITE BLOOD CELL COUNT
D729,"DISORDER OF WHITE BLOOD CELLS, UNSPECIFIED"
D731,HYPERSPLENISM
D763,OTHER HISTIOCYTOSIS SYNDROMES
D802,SELECTIVE DEFICIENCY OF IMMUNOGLOBULIN A [IGA]
D806,ANTIBODY DEFIC W NEAR-NORM IMMUNOGLOB OR W HYPERIMMUNOGLOB
D8481,IMMUNODEFICIENCY DUE TO CONDITIONS CLASSIFIED ELSEWHERE
D8683,SARCOID IRIDOCYCLITIS
D8981,GRAFT-VERSUS-HOST DISEASE
E061,SUBACUTE THYROIDITIS
E0781,SICK-EUTHYROID SYNDROME
E0811,DIABETES DUE TO UNDERLYING CONDITION W KETOACIDOSIS W COMA
E0862,DIABETES DUE TO UNDERLYING CONDITION W SKIN COMPLICATIONS
E0864,DIABETES MELLITUS DUE TO UNDERLYING CONDITION W HYPOGLYCEMIA
E1065,TYPE 1 DIABETES MELLITUS WITH HYPERGLYCEMIA
E1111,TYPE 2 DIABETES MELLITUS WITH KETOACIDOSIS WITH COMA
E1137,"TYPE 2 DIAB WITH DIABETIC MACULAR EDEMA, RESOLVED FOL TRTMT"
E1140,"TYPE 2 DIABETES MELLITUS WITH DIABETIC NEUROPATHY, UNSP"
E1144,TYPE 2 DIABETES MELLITUS WITH DIABETIC AMYOTROPHY
E1159,TYPE 2 DIABETES MELLITUS WITH OTH CIRCULATORY COMPLICATIONS
E1301,OTH DIABETES MELLITUS WITH HYPEROSMOLARITY WITH COMA
E1322,OTH DIABETES MELLITUS WITH DIABETIC CHRONIC KIDNEY DISEASE
E1331,OTH DIABETES MELLITUS WITH UNSPECIFIED DIABETIC RETINOPATHY
E1332,OTH DIABETES W MILD NONPROLIFERATIVE DIABETIC RETINOPATHY
E1339,OTH DIABETES MELLITUS W OTH DIABETIC OPHTHALMIC COMPLICATION
E1352,OTH DIABETES W DIABETIC PERIPHERAL ANGIOPATHY W GANGRENE
E201,PSEUDOHYPOPARATHYROIDISM
E208,OTHER HYPOPARATHYROIDISM
E210,PRIMARY HYPERPARATHYROIDISM
E214,OTHER SPECIFIED DISORDERS OF PARATHYROID GLAND
E231,DRUG-INDUCED HYPOPITUITARISM
E299,"TESTICULAR DYSFUNCTION, UNSPECIFIED"
E328,OTHER DISEASES OF THYMUS
E329,"DISEASE OF THYMUS, UNSPECIFIED"
E440,MODERATE PROTEIN-CALORIE MALNUTRITION
E45,RETARDED DEVELOPMENT FOLLOWING PROTEIN-CALORIE MALNUTRITION
E561,DEFICIENCY OF VITAMIN K
E617,DEFICIENCY OF MULTIPLE NUTRIENT ELEMENTS
E65,LOCALIZED ADIPOSITY
E662,MORBID (SEVERE) OBESITY WITH ALVEOLAR HYPOVENTILATION
E672,MEGAVITAMIN-B6 SYNDROME
E712,"DISORDER OF BRANCHED-CHAIN AMINO-ACID METABOLISM, UNSP"
E7140,"DISORDER OF CARNITINE METABOLISM, UNSPECIFIED"
E7481,"DISORDERS OF GLUCOSE TRANSPORT, NOT ELSEWHERE CLASSIFIED"
E7521,FABRY (-ANDERSON) DISEASE
E7522,GAUCHER DISEASE
E755,OTHER LIPID STORAGE DISORDERS
E790,HYPERURICEMIA W/O SIGNS OF INFLAM ARTHRIT AND TOPHACEOUS DIS
E8319,OTHER DISORDERS OF IRON METABOLISM
E8351,HYPOCALCEMIA
E8389,OTHER DISORDERS OF MINERAL METABOLISM
E869,"VOLUME DEPLETION, UNSPECIFIED"
E874,MIXED DISORDER OF ACID-BASE BALANCE
E8779,OTHER FLUID OVERLOAD
E8989,OTH POSTPROC ENDOCRINE AND METABOLIC COMP AND DISORDERS
F01A1,"VASCULAR DEMENTIA, MILD, WITH BEHAVIORAL DISTURBANCE"
F0282,"DEM IN OTHER DIS CLASSD ELSWHR, UNSP SEV, WITH PSYCH DISTRB"
F03B4,"UNSPECIFIED DEMENTIA, MODERATE, WITH ANXIETY"
F03C0,"UNSPECIFIED DEMENTIA, SEVERE, WITHOUT BEH/PSYCH/MOOD/ANX"
F0671,MILD NEUROCOG DISORD D/T KNOWN PHYSIOL COND WITH BEH DISTRB
F1015,ALCOHOL ABUSE WITH ALCOHOL-INDUCED PSYCHOTIC DISORDER
F1028,ALCOHOL DEPENDENCE WITH OTHER ALCOHOL-INDUCED DISORDERS
F1118,OPIOID ABUSE WITH OTHER OPIOID-INDUCED DISORDER
F1129,OPIOID DEPENDENCE WITH UNSPECIFIED OPIOID-INDUCED DISORDER
F1210,"CANNABIS ABUSE, UNCOMPLICATED"
F1299,"CANNABIS USE, UNSP WITH UNSP CANNABIS-INDUCED DISORDER"
F1313,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC ABUSE WITH WITHDRAWAL"
F1329,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC DEPENDENCE W UNSP DISORDER"
F1412,COCAINE ABUSE WITH INTOXICATION
F1523,OTHER STIMULANT DEPENDENCE WITH WITHDRAWAL
F1690,"HALLUCINOGEN USE, UNSPECIFIED, UNCOMPLICATED"
F1912,OTHER PSYCHOACTIVE SUBSTANCE ABUSE WITH INTOXICATION
F2089,OTHER SCHIZOPHRENIA
F22,DELUSIONAL DISORDERS
F250,"SCHIZOAFFECTIVE DISORDER, BIPOLAR TYPE"
F3113,"BIPOLAR DISORD, CRNT EPSD MANIC W/O PSYCH FEATURES, SEVERE"
F3163,"BIPOLAR DISORD, CRNT EPSD MIXED, SEVERE, W/O PSYCH FEATURES"
F3289,OTHER SPECIFIED DEPRESSIVE EPISODES
F32A,"DEPRESSION, UNSPECIFIED"
F340,CYCLOTHYMIC DISORDER
F4022,NATURAL ENVIRONMENT TYPE PHOBIA
F418,OTHER SPECIFIED ANXIETY DISORDERS
F423,HOARDING DISORDER
F482,PSEUDOBULBAR AFFECT
F5000,"ANOREXIA NERVOSA, UNSPECIFIED"
F5113,HYPERSOMNIA DUE TO OTHER MENTAL DISORDER
F526,DYSPAREUNIA NOT DUE TO A SUBSTANCE OR KNOWN PHYSIOL COND
F531,PUERPERAL PSYCHOSIS
F553,ABUSE OF STEROIDS OR HORMONES
F558,ABUSE OF OTHER NON-PSYCHOACTIVE SUBSTANCES
F609,"PERSONALITY DISORDER, UNSPECIFIED"
F78,OTHER INTELLECTUAL DISABILITIES
F912,"CONDUCT DISORDER, ADOLESCENT-ONSET TYPE"
F941,REACTIVE ATTACHMENT DISORDER OF CHILDHOOD
G031,CHRONIC MENINGITIS
G0431,POSTINFECTIOUS ACUTE NECROTIZING HEMORRHAGIC ENCEPHALOPATHY
G053,ENCEPHALITIS AND ENCEPHALOMYELITIS IN DISEASES CLASSD ELSWHR
G09,SEQUELAE OF INFLAMMATORY DISEASES OF CENTRAL NERVOUS SYSTEM
G1110,"EARLY-ONSET CEREBELLAR ATAXIA, UNSPECIFIED"
G121,OTHER INHERITED SPINAL MUSCULAR ATROPHY
G1220,"MOTOR NEURON DISEASE, UNSPECIFIED"
G128,OTHER SPINAL MUSCULAR ATROPHIES AND RELATED SYNDROMES
G213,POSTENCEPHALITIC PARKINSONISM
G214,VASCULAR PARKINSONISM
G2402,DRUG INDUCED ACUTE DYSTONIA
G2579,OTHER DRUG INDUCED MOVEMENT DISORDERS
G308,OTHER ALZHEIMER'S DISEASE
G3184,MILD COGNITIVE IMPAIRMENT OF UNCERTAIN OR UNKNOWN ETIOLOGY
G3189,OTHER SPECIFIED DEGENERATIVE DISEASES OF NERVOUS SYSTEM
G320,SUBAC COMB DEGENERATION OF SPINAL CORD IN DIS CLASSD ELSWHR
G369,"ACUTE DISSEMINATED DEMYELINATION, UNSPECIFIED"
G370,DIFFUSE SCLEROSIS OF CENTRAL NERVOUS SYSTEM
G4001,"LOCAL-REL (FOCAL) IDIO EPI W SEIZURES OF LOC ONSET, NTRCT"
G4031,"GENERALIZED IDIOPATHIC EPILEPSY, INTRACTABLE"
G4081,LENNOX-GASTAUT SYNDROME
G4301,"MIGRAINE WITHOUT AURA, INTRACTABLE"
G4732,HIGH ALTITUDE PERIODIC BREATHING
G4762,SLEEP RELATED LEG CRAMPS
G4763,SLEEP RELATED BRUXISM
G520,DISORDERS OF OLFACTORY NERVE
G529,"CRANIAL NERVE DISORDER, UNSPECIFIED"
G5620,"LESION OF ULNAR NERVE, UNSPECIFIED UPPER LIMB"
G5691,UNSPECIFIED MONONEUROPATHY OF RIGHT UPPER LIMB
G5720,"LESION OF FEMORAL NERVE, UNSPECIFIED LOWER LIMB"
G5751,"TARSAL TUNNEL SYNDROME, RIGHT LOWER LIMB"
